job_title,company_name,location,skill_required,salary
Accountant,Meta,Singapore,Bookkeeping,67842
Support Specialist,BMW,Delhi,Troubleshooting,65340
Tutor,JPMorgan,Paris,Mentoring,34467
Judge,JPMorgan,Berlin,Judicial Review,173079
Waiter,Meta,London,Hospitality,26377
Call Center Agent,BMW,San Francisco,Customer Handling,40804
Compliance Officer,Amazon,London,Regulation,68178
Compliance Officer,Coca Cola,Sydney,Regulation,108253
Tutor,Deloitte,Toronto,Mentoring,26379
Psychologist,McDonald's,Tokyo,Counseling,107999
Accountant,KPMG,Tokyo,Bookkeeping,83685
Cloud Engineer,Infosys,Dubai,AWS,136757
Cloud Engineer,Google,New York,AWS,168439
Doctor,BMW,Chicago,Surgery,299968
Investment Banker,Wipro,Sydney,Valuation,107995
Lawyer,Meta,Singapore,Litigation,151077
Investment Banker,Deloitte,Singapore,Valuation,167377
Compliance Officer,Deloitte,Chicago,Regulation,85713
Investment Banker,Deloitte,Paris,Valuation,162753
Cybersecurity Analyst,Infosys,Los Angeles,Network Security,126826
Legal Advisor,EY,New York,Contract Drafting,110915
Chef,Disney,Berlin,Culinary Arts,78595
Pilot,Amazon,New York,Navigation,146187
Marketing Manager,Google,New York,SEO,87583
Driver,Wipro,Berlin,Driving,34175
Judge,KPMG,Delhi,Judicial Review,205780
Librarian,Accenture,Toronto,Cataloguing,54156
Farmer,Infosys,Sydney,Crop Management,19577
Auditor,Coca Cola,Berlin,Compliance,60835
Pilot,Tesla,Dubai,Navigation,170509
Operations Manager,Wipro,San Francisco,Process Optimization,149424
Legal Advisor,JPMorgan,Berlin,Contract Drafting,109178
Carpenter,KPMG,London,Woodworking,60143
Data Scientist,BMW,Sydney,Machine Learning,70453
Waiter,Infosys,Singapore,Hospitality,25803
Tax Consultant,Wipro,Dubai,Tax Filing,91822
Pilot,Apple,Singapore,Navigation,241058
Radiologist,BMW,London,Imaging,141175
Marketing Manager,Sony,London,SEO,111250
Psychologist,Infosys,Los Angeles,Counseling,103297
Legal Advisor,Amazon,Chicago,Contract Drafting,124647
Carpenter,Coca Cola,Dubai,Woodworking,55531
Project Manager,Tesla,New York,Agile,136771
Project Manager,Microsoft,Paris,Agile,87391
Cashier,Meta,Tokyo,Billing,45684
Radiologist,HSBC,Delhi,Imaging,184767
Researcher,Coca Cola,London,Data Analysis,106465
Waiter,Google,Paris,Hospitality,27094
Project Manager,HSBC,San Francisco,Agile,89157
Teacher,McDonald's,Dubai,Classroom Management,46170
Plumber,Coca Cola,New York,Pipe Fitting,75572
Software Engineer,Accenture,Sydney,Python,121624
Nurse,EY,Tokyo,Patient Care,78728
Pilot,EY,Dubai,Navigation,227499
Chef,JPMorgan,Toronto,Culinary Arts,89068
Pilot,McDonald's,Los Angeles,Navigation,145439
Auditor,Sony,Toronto,Compliance,114345
Teacher,JPMorgan,Singapore,Classroom Management,68700
Carpenter,Pfizer,Dubai,Woodworking,63351
Farmer,Meta,Dubai,Crop Management,18737
Software Engineer,Microsoft,Sydney,Python,134404
Lawyer,Google,New York,Litigation,82423
Financial Analyst,HSBC,Delhi,Excel Modeling,60898
Professor,Tesla,Tokyo,Research,119249
Carpenter,EY,Paris,Woodworking,65517
Animator,Disney,Singapore,3D Animation,56381
Doctor,Amazon,Delhi,Surgery,185057
Nurse,Google,Paris,Patient Care,55481
